Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1855,c_7,c_7,c_4,c_7,0.9739,0.08191722
model_1856,c_4,c_6,c_7,m_3,0.9737,0.084886976
model_1857,m_3,m_2,c_9,c_7,0.5283,1.4854606
model_1858,m_1,c_6,m_2,c_2,0.9257,0.28608873
model_1859,c_6,c_12,c_3,c_7,0.9727,0.08792349
model_1860,m_2,c_11,m_3,m_1,0.8965,0.4159813
model_1861,c_2,c_4,m_2,c_4,0.9579,0.14151779
model_1862,m_2,m_3,m_1,c_7,0.3424,2.07155
model_1863,c_11,c_1,c_3,c_2,0.9721,0.093004785
model_1864,c_4,c_8,c_12,c_4,0.9727,0.08694817
model_1865,c_7,m_2,c_1,c_5,0.9449,0.18123901
model_1866,c_2,c_12,m_2,c_3,0.966,0.11385506
model_1867,c_1,c_5,m_3,c_9,0.9651,0.11844816
model_1868,c_3,c_8,c_4,c_9,0.9717,0.0867517
model_1869,c_4,m_3,c_7,m_1,0.9231,0.26292598
model_1870,c_5,m_3,c_2,c_8,0.9376,0.20546986
model_1871,c_2,c_5,c_2,c_3,0.9742,0.0819296
model_1872,c_6,c_10,s,-,0.9686,0.109949775
model_1873,c_9,c_3,c_9,m_1,0.9728,0.08570997
model_1874,c_12,c_4,c_11,m_3,0.9739,0.08286573
model_1875,c_9,c_3,c_2,m_3,0.9734,0.08417628
model_1876,c_7,c_12,c_5,c_5,0.9724,0.08279943
model_1877,c_8,m_3,c_5,c_1,0.9452,0.18912177
model_1878,c_10,c_11,c_1,c_5,0.9732,0.08702701
model_1879,c_2,c_11,m_1,c_12,0.9586,0.1359323
model_1880,c_3,c_11,c_3,c_10,0.9732,0.08851497
model_1881,c_2,c_7,c_10,m_1,0.9737,0.08150903
model_1882,c_5,c_9,c_5,c_5,0.9745,0.08529978
model_1883,c_12,c_1,c_12,c_7,0.973,0.08501671
model_1884,c_10,c_4,c_10,s,0.9743,0.082172014
model_1885,c_5,c_12,c_10,c_7,0.9735,0.08375253
model_1886,c_2,c_1,c_6,c_4,0.9719,0.08157316
model_1887,c_5,c_11,m_3,c_5,0.9657,0.11748134
model_1888,c_3,c_12,c_7,m_1,0.9728,0.088785715
model_1889,c_10,c_9,c_1,c_3,0.9722,0.08439025
model_1890,c_8,c_6,c_11,m_2,0.9731,0.08409648
model_1891,c_7,c_1,c_3,m_2,0.9734,0.08299028
model_1892,c_3,c_3,c_9,c_1,0.9718,0.08719701
model_1893,m_1,c_1,c_1,c_7,0.9353,0.21313384
model_1894,m_2,c_7,c_11,c_8,0.9327,0.2144995
model_1895,c_5,c_1,s,-,0.9676,0.11062964
model_1896,c_9,c_3,c_2,c_2,0.9727,0.08779335
model_1897,c_9,m_1,m_3,m_1,0.9392,0.26346108
model_1898,c_1,c_2,c_7,c_10,0.9753,0.08306919
model_1899,m_3,c_3,c_3,c_3,0.86,0.46303463
model_1900,c_9,m_1,c_4,c_2,0.9511,0.16287898
model_1901,c_12,c_12,c_1,s,0.9726,0.0862082
model_1902,c_11,c_4,c_12,c_3,0.9726,0.08133648
model_1903,c_5,c_4,c_3,c_2,0.9744,0.08378647
model_1904,c_5,c_2,c_2,c_10,0.9726,0.08359672
model_1905,c_1,c_10,m_3,c_1,0.9556,0.15508178
model_1906,c_1,c_12,c_4,c_8,0.9744,0.08303689
model_1907,c_2,c_10,c_5,s,0.9744,0.081572644
model_1908,c_7,c_3,c_10,c_12,0.9743,0.08395117
model_1909,m_2,c_8,m_1,m_1,0.8968,0.37825748
model_1910,c_8,c_2,c_7,c_9,0.9739,0.08171541
model_1911,c_2,m_2,c_4,c_9,0.9522,0.1649757
model_1912,m_1,c_3,c_4,c_9,0.9341,0.2157834
model_1913,m_2,c_2,c_9,c_3,0.9356,0.21369697
model_1914,m_1,c_11,c_5,s,0.9359,0.21064432
model_1915,c_11,m_1,c_5,m_3,0.9512,0.16574976
model_1916,c_12,m_3,c_11,c_9,0.957,0.15139122
model_1917,m_3,c_12,c_12,m_2,0.8575,0.46220195
model_1918,c_6,c_10,c_12,c_8,0.9734,0.086567864
model_1919,c_6,c_12,c_8,c_9,0.9704,0.093750685
model_1920,c_12,c_1,c_4,s,0.9706,0.08948751
model_1921,c_2,c_8,c_11,c_8,0.9725,0.08382281
model_1922,c_3,c_8,c_7,c_4,0.973,0.083534546
model_1923,c_4,m_1,c_2,c_1,0.9523,0.16717264
model_1924,c_12,c_5,c_12,c_7,0.9736,0.08394923
model_1925,c_11,c_5,c_8,s,0.9744,0.07925941
model_1926,c_3,m_1,c_4,c_5,0.9523,0.15995224
model_1927,c_10,c_2,c_3,c_5,0.9735,0.08612249
model_1928,m_2,c_6,c_12,m_2,0.9336,0.22294189
model_1929,c_11,c_6,s,-,0.9678,0.10574786
model_1930,c_3,c_9,c_3,c_11,0.9739,0.08245173
model_1931,c_8,c_12,c_9,m_1,0.9717,0.087918915
model_1932,c_8,m_1,c_9,c_6,0.9527,0.1634106
model_1933,c_12,c_1,c_8,c_10,0.9747,0.08042881
model_1934,m_2,m_1,m_3,c_12,0.2388,2.1105196
model_1935,c_8,c_8,c_8,c_9,0.9727,0.08388093
model_1936,c_12,m_3,m_3,c_6,0.9087,0.37570578
model_1937,c_10,c_2,c_3,c_2,0.9738,0.087125964
model_1938,c_2,c_3,c_3,c_6,0.9737,0.083283566
model_1939,c_6,c_7,c_2,c_4,0.9733,0.08359822
model_1940,m_3,m_3,c_4,c_5,0.4169,1.7766583
model_1941,c_4,c_4,c_1,c_2,0.9745,0.08205386
model_1942,c_4,c_1,m_3,s,0.9475,0.18087138
model_1943,c_10,c_6,m_2,c_5,0.9662,0.11697622
model_1944,c_10,c_3,m_3,c_2,0.9691,0.1068579
model_1945,c_4,c_5,m_2,c_1,0.9605,0.13076404
model_1946,m_3,m_1,c_12,c_11,0.6074,1.2208537
model_1947,c_4,c_4,m_2,c_3,0.955,0.14730258
model_1948,c_7,c_7,c_4,c_11,0.9755,0.08016041
model_1949,c_10,c_2,c_2,c_10,0.9739,0.081977285
model_1950,c_11,c_5,m_3,m_2,0.9664,0.11342292
model_1951,c_12,m_1,c_5,m_1,0.9517,0.164175
model_1952,c_4,c_3,m_3,s,0.97,0.10368511
model_1953,c_10,c_3,m_1,s,0.9611,0.13426115
model_1954,c_5,c_6,c_11,s,0.9706,0.08777521
model_1955,m_1,c_3,c_1,c_12,0.9286,0.22942963
model_1956,c_8,c_4,c_8,c_7,0.9732,0.08377036
model_1957,m_1,c_11,c_4,c_2,0.935,0.21564978
model_1958,c_9,c_5,c_2,c_5,0.9739,0.087051734
model_1959,c_9,c_1,c_11,c_11,0.9716,0.08823176
model_1960,m_1,c_3,s,-,0.9149,0.29743302
model_1961,c_12,c_3,c_10,c_7,0.9716,0.090278104
model_1962,c_12,c_11,m_1,c_12,0.9616,0.13409424
model_1963,c_5,c_4,c_6,c_3,0.9732,0.08256784
model_1964,c_4,c_3,c_10,c_6,0.9738,0.084618546
model_1965,c_2,c_9,c_4,c_2,0.9741,0.0828074
model_1966,c_4,c_7,c_7,c_3,0.9746,0.08253565
model_1967,c_1,c_12,m_2,c_6,0.9676,0.11059783
model_1968,c_9,m_1,c_3,c_11,0.9538,0.16268775
model_1969,c_2,m_2,c_6,c_12,0.9519,0.16176295
model_1970,c_6,c_5,c_2,m_2,0.9707,0.0879463
model_1971,c_8,c_5,c_7,c_12,0.9747,0.08177505
model_1972,c_6,c_11,c_10,c_12,0.9717,0.09375379
model_1973,c_9,c_3,c_2,c_8,0.9727,0.08389716
model_1974,c_5,m_1,c_3,c_6,0.9513,0.16287234
model_1975,c_1,c_9,c_11,c_3,0.9726,0.084757686
model_1976,m_1,c_5,c_2,c_11,0.9336,0.2143342
model_1977,c_3,c_6,c_2,c_11,0.9726,0.086523645
model_1978,c_11,c_1,m_3,c_1,0.951,0.16796994
model_1979,c_2,c_3,c_7,c_10,0.9736,0.08417131
model_1980,m_3,c_12,c_9,c_4,0.8564,0.45822152
model_1981,c_9,c_9,c_5,c_3,0.9708,0.09045976
model_1982,c_10,c_9,c_5,m_1,0.9728,0.08699371
model_1983,c_9,c_9,c_10,c_2,0.9717,0.08679258
model_1984,c_4,c_4,c_9,c_4,0.9745,0.08053946
model_1985,c_8,c_9,c_6,c_1,0.9721,0.090033956
model_1986,c_7,c_1,c_11,c_2,0.973,0.08432703
model_1987,m_2,c_12,c_4,c_6,0.9286,0.22812998
model_1988,c_11,c_12,c_5,c_10,0.9732,0.08526076
model_1989,c_10,c_2,m_3,c_9,0.9606,0.13258496
model_1990,c_2,c_1,c_9,m_2,0.9761,0.0782957
model_1991,c_1,c_7,c_6,c_3,0.9736,0.08348434
model_1992,c_9,c_3,c_4,c_5,0.9732,0.08432598
model_1993,m_1,c_11,c_3,c_3,0.9352,0.21097289
model_1994,c_10,m_2,c_1,c_2,0.9473,0.17600533
model_1995,c_10,c_12,c_12,c_8,0.9717,0.087714076
