EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_360,c_1,c_3,c_6,c_3,0.9804,0.056933537
episode_361,c_9,m_3,c_4,c_9,0.972,0.09583482
episode_362,c_2,c_8,c_6,c_9,0.9808,0.06172377
episode_363,c_7,c_4,c_9,c_6,0.9795,0.06275638
episode_364,c_6,c_4,c_8,c_5,0.9792,0.06480693
episode_365,c_3,c_6,c_1,m_2,0.9795,0.06489656
episode_366,c_11,c_10,m_3,c_10,0.9748,0.08715495
episode_367,c_2,c_7,c_2,c_5,0.9796,0.06275194
episode_368,c_6,c_9,c_4,c_10,0.9793,0.06296176
episode_369,c_10,m_1,c_5,s,0.9663,0.11300588
episode_370,c_3,c_2,m_2,m_1,0.9743,0.0849281
episode_371,m_1,c_7,c_11,c_9,0.9591,0.14379372
episode_372,c_6,c_3,c_12,c_3,0.9808,0.0622445
episode_373,c_6,c_1,c_1,c_3,0.9795,0.063610345
episode_374,c_8,s,-,-,0.9613,0.13357337
episode_374,c_8,s,-,-,0.962,0.13284324
episode_375,c_3,c_11,c_12,m_2,0.9815,0.061485454
episode_376,c_1,c_5,c_6,c_6,0.9766,0.069497555
episode_377,c_3,c_3,c_5,c_9,0.979,0.06330294
episode_378,c_5,c_7,m_3,c_12,0.9786,0.076839596
episode_379,c_1,c_6,c_1,m_3,0.9803,0.058768164
episode_380,c_1,c_10,c_7,s,0.9769,0.072510794
episode_381,c_8,c_6,m_2,c_7,0.9795,0.07055372
episode_382,c_3,c_12,c_3,m_2,0.9803,0.06140925
episode_383,c_8,c_1,s,-,0.9768,0.07422112
episode_384,c_7,c_4,c_6,m_3,0.9799,0.06453217
episode_385,m_3,c_4,c_8,c_12,0.8676,0.3927016
episode_386,c_7,c_1,c_3,c_1,0.9813,0.058440704
episode_387,c_1,c_3,m_2,c_11,0.9791,0.06818835
episode_388,c_1,c_7,c_9,c_3,0.9807,0.0571247
episode_388,c_1,c_7,c_9,c_3,0.9806,0.05999812
episode_389,c_9,c_11,m_3,c_9,0.981,0.065111354
episode_390,c_11,m_2,c_12,c_4,0.9695,0.10251789
episode_391,c_2,c_7,c_1,c_3,0.9803,0.060055967
episode_392,m_3,c_10,c_11,c_11,0.8738,0.3811411
episode_393,c_9,c_7,c_3,c_7,0.9796,0.062085755
episode_394,c_10,c_5,c_7,m_1,0.9799,0.060770884
episode_395,c_10,c_12,s,-,0.9777,0.072886966
