Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_502,c_10,m_1,c_8,m_3,0.7502,0.740760942363739
model_503,c_6,c_8,c_5,c_9,0.7459,0.7910265608787537
model_504,c_7,c_9,c_1,m_3,0.7156,0.8266182184219361
model_505,c_6,c_4,c_10,m_1,0.7124,0.8583398746490478
model_506,c_5,c_4,s,-,0.6963,0.8939770220756531
model_507,c_1,c_5,c_10,m_3,0.719,0.8224454921722412
model_508,c_6,c_4,c_4,m_3,0.7253,0.797657841014862
model_509,c_6,c_9,c_4,c_10,0.7349,0.789613620185852
model_510,c_11,m_2,c_4,c_4,0.7497,0.7403308847427368
model_511,c_1,c_2,s,-,0.6868,0.9153530474662781
model_512,c_5,c_9,c_3,c_11,0.7416,0.8519901666641235
model_513,c_1,c_3,c_2,c_6,0.7293,0.8238843574523925
model_514,c_8,c_9,c_4,c_5,0.6956,0.9349837032318116
model_515,c_6,m_3,c_7,m_1,0.7235,0.7941912260055543
model_516,c_11,m_1,c_1,c_6,0.7497,0.7601618339538574
model_517,c_10,c_1,c_12,c_3,0.7562,0.7502610938072205
model_518,c_11,m_2,c_1,c_10,0.768,0.725674325466156
model_519,c_6,m_3,c_4,c_6,0.718,0.8406937512397766
model_520,c_9,c_2,c_6,m_3,0.7413,0.7577189135551453
model_521,m_3,c_4,c_4,s,0.6661,0.9706869173049927
model_522,c_8,c_2,c_3,c_6,0.71,0.8534429258346558
model_523,c_10,m_1,c_5,c_9,0.7771,0.7056916100025177
model_524,c_9,c_10,m_1,c_10,0.7203,0.805166005897522
model_525,c_12,c_6,c_6,c_6,0.7322,0.850642798280716
model_526,c_3,c_7,c_10,m_2,0.7019,0.8741518708229065
model_527,c_2,c_8,c_11,c_3,0.7055,0.9049764172554016
model_528,c_4,c_5,c_6,c_2,0.7237,0.8031814426422119
model_529,c_7,c_3,c_3,s,0.7216,0.8536451238632202
model_530,c_8,c_2,c_7,c_7,0.7087,0.8417724081039428
model_531,c_4,c_6,c_10,c_8,0.6974,0.9315878422737122
model_532,c_6,c_11,m_2,c_7,0.7298,0.7924673385620117
model_533,m_3,m_3,c_6,m_1,0.5628,1.26333553314209
model_534,c_8,c_8,c_6,c_4,0.751,0.7918688382625579
model_535,c_8,c_6,c_11,c_3,0.7465,0.7847323102951049
model_536,c_9,c_5,c_6,m_2,0.7233,0.8025195957183838
model_537,c_4,c_9,c_1,c_4,0.7098,0.8514613433837891
model_538,c_3,c_10,c_9,c_12,0.7423,0.8250940428733826
model_539,m_2,m_3,c_10,c_4,0.6055,1.1048950536727906
model_540,m_3,c_10,c_11,c_11,0.7011,1.0390606451034545
model_541,c_7,c_9,c_6,c_2,0.7365,0.766783848285675
model_542,c_4,c_5,c_12,m_3,0.7234,0.8401939951896668
