EPISODE_NUMBER,LAYER_1,LAYER_2,LAYER_3,LAYER_4,ACCURACY,LOSS
episode_320,c_7,m_2,c_4,c_9,0.7504,0.7934897252
episode_321,c_1,s,-,-,0.6824,0.9222057566
episode_321,c_1,s,-,-,0.6812,0.9313422739
episode_321,c_1,s,-,-,0.6678,0.9662022907
episode_322,c_10,m_2,c_11,c_11,0.76,0.7138206359
episode_323,c_7,c_3,c_6,c_1,0.7183,0.8288707768
episode_324,c_2,c_5,c_2,c_2,0.7248,0.8193752006
episode_325,c_9,c_6,c_6,m_3,0.7418,0.8022163939
episode_326,m_2,c_7,c_5,c_11,0.7202,0.8810535474
episode_327,c_1,c_3,c_9,c_8,0.7303,0.7890602434
episode_328,c_3,c_11,c_6,m_2,0.7095,0.8423264822
episode_329,c_5,c_12,c_12,c_12,0.7309,0.8424393962
episode_330,c_10,c_6,c_9,c_10,0.756,0.7291960112
episode_331,c_7,c_6,c_3,c_10,0.7539,0.7333140047
episode_332,c_9,c_12,m_3,c_6,0.7762,0.6634890669
episode_333,c_4,c_8,c_4,c_1,0.7176,0.8252080023
episode_334,c_9,c_4,c_9,c_12,0.7475,0.7696301625
episode_335,c_11,c_6,c_12,c_2,0.7314,0.8036078853
episode_336,c_12,m_1,s,-,0.703,0.8900160341
episode_336,c_12,m_1,s,-,0.7304,0.8135914484
episode_337,c_2,m_1,c_1,c_11,0.7533,0.7513059779
episode_337,c_2,m_1,c_1,c_11,0.7222,0.8323528993
episode_338,c_9,m_1,m_3,m_3,0.6379,1.0747249052
episode_339,c_9,c_5,c_7,m_2,0.7108,0.8322971715
episode_340,c_9,c_11,c_12,c_9,0.7462,0.8377771833
episode_341,c_10,c_5,c_5,c_4,0.718,0.8690554668
episode_342,m_3,c_12,c_1,c_5,0.6786,0.9605158808
episode_343,c_10,c_12,c_3,s,0.7365,0.7831371754
episode_344,c_1,c_1,c_8,c_7,0.7287,0.8156379168
episode_345,c_10,c_6,c_10,c_9,0.729,0.801501258
episode_346,c_3,c_6,m_1,c_2,0.7298,0.8212579532
episode_347,c_7,c_9,c_7,c_8,0.7125,0.9081037186
episode_348,c_1,c_3,m_1,s,0.7152,0.8510912469
episode_349,c_9,m_1,c_10,c_4,0.7459,0.7662300817
episode_350,c_3,c_11,c_10,m_2,0.7239,0.8182396158
episode_351,c_7,m_1,c_2,m_1,0.7185,0.8180349734
episode_352,c_2,m_1,c_8,c_9,0.7736,0.7046771322
episode_353,c_1,c_9,s,-,0.707,0.8873637054
episode_353,c_1,c_9,s,-,0.7025,0.8917335058
episode_354,c_11,c_5,c_5,c_3,0.7335,0.7908434458
episode_355,c_4,c_4,c_3,c_11,0.7284,0.8173319738
episode_356,c_1,c_5,c_6,c_12,0.7189,0.8191004657
