Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_1346,c_11,c_12,c_3,s,0.9717,0.08546096
model_1347,c_1,m_1,c_3,c_3,0.9485,0.16995664
model_1348,c_10,c_3,c_10,c_7,0.9713,0.08889612
model_1349,c_7,c_12,m_3,c_10,0.9712,0.09692582
model_1350,c_9,c_1,m_3,c_1,0.9647,0.12424473
model_1351,c_9,c_9,c_7,c_6,0.972,0.08668134
model_1352,c_8,c_5,c_8,s,0.9733,0.082551494
model_1353,m_3,c_3,c_5,c_1,0.8376,0.51559836
model_1354,c_7,c_10,c_9,c_10,0.9734,0.08470489
model_1355,c_12,c_9,c_9,s,0.9719,0.085910946
model_1356,c_5,c_2,c_1,c_2,0.9726,0.0823616
model_1357,c_4,c_1,c_12,c_2,0.9736,0.07765799
model_1358,c_7,c_4,c_10,c_10,0.9736,0.07930725
model_1359,c_10,c_10,c_2,c_12,0.9739,0.08133375
model_1360,c_1,c_11,c_3,m_2,0.9722,0.08423022
model_1361,c_10,c_9,c_5,c_10,0.9745,0.08281582
model_1362,m_3,c_5,c_9,c_4,0.8313,0.5246601
model_1363,c_10,c_7,c_2,c_7,0.9743,0.08337393
model_1364,c_1,m_2,c_11,c_9,0.9461,0.17984147
model_1365,c_12,c_6,m_1,c_1,0.9616,0.13147672
model_1366,c_11,c_3,c_7,c_6,0.9736,0.08480445
model_1367,m_1,c_12,c_6,c_3,0.9357,0.21607764
model_1368,c_12,c_12,m_3,c_12,0.97,0.10299735
model_1369,c_8,c_9,c_10,c_11,0.9728,0.08749291
model_1370,m_2,m_3,c_4,c_8,0.2804,1.9999667
model_1371,c_2,c_1,c_2,c_7,0.9735,0.08364543
model_1372,c_1,c_10,c_1,c_7,0.975,0.08219833
model_1373,c_10,c_8,c_7,c_6,0.9739,0.08171649
model_1374,c_4,m_2,c_1,m_3,0.9453,0.18320322
model_1375,c_10,c_10,c_8,c_4,0.9749,0.08117465
model_1376,c_4,c_3,c_6,s,0.9737,0.083855055
model_1377,m_1,c_3,m_3,c_6,0.9273,0.32165644
model_1378,c_11,c_10,m_1,c_2,0.9591,0.14013144
model_1379,c_6,c_12,c_1,c_5,0.9704,0.090574406
model_1380,c_5,m_3,m_1,c_7,0.9027,0.41618034
model_1381,c_7,c_10,m_2,c_8,0.958,0.14546975
model_1382,c_2,c_3,c_10,c_5,0.9735,0.08613517
model_1383,m_3,c_8,c_10,c_4,0.8352,0.5261481
model_1384,c_3,c_10,c_5,c_10,0.9713,0.08583083
model_1385,c_2,c_12,c_5,c_11,0.9739,0.082854405
model_1386,c_12,c_1,c_3,c_1,0.9724,0.0850206
model_1387,c_8,c_6,c_5,c_12,0.9715,0.09310931
model_1388,c_7,c_4,c_12,c_11,0.9736,0.08402198
model_1389,c_9,c_9,c_3,c_9,0.9732,0.086731836
model_1390,c_5,c_9,c_8,c_1,0.9731,0.0814484
model_1391,c_7,c_12,m_2,c_8,0.9673,0.11419965
model_1392,c_2,m_3,c_2,m_3,0.9415,0.20013407
model_1393,c_10,c_3,c_11,c_7,0.9734,0.08278527
model_1394,c_9,c_1,m_3,s,0.9592,0.14676592
model_1395,c_12,c_9,c_7,m_2,0.9738,0.085109375
model_1396,c_1,c_6,m_3,c_5,0.9694,0.102686435
model_1397,c_10,c_11,c_3,m_2,0.9737,0.083690666
model_1398,c_12,c_6,c_11,c_6,0.9717,0.0871901
model_1399,c_9,c_8,c_4,m_1,0.9722,0.088086784
model_1400,c_11,c_6,m_2,c_7,0.9652,0.1213434
model_1401,c_12,m_1,m_1,c_10,0.9285,0.2659988
model_1402,c_1,c_12,c_8,c_2,0.9727,0.087601684
model_1403,m_3,c_11,m_2,c_8,0.7411,1.0379404
model_1404,c_7,c_12,c_12,m_1,0.9727,0.083734706
model_1405,c_8,c_5,m_1,c_6,0.9597,0.13493973
model_1406,c_9,c_5,c_11,c_12,0.9723,0.08394297
model_1407,m_3,c_5,m_2,c_8,0.7437,1.0488076
model_1408,c_2,m_3,c_6,c_8,0.942,0.19637562
model_1409,c_5,c_4,m_2,c_10,0.9602,0.13970728
model_1410,c_8,c_5,c_12,c_12,0.9741,0.08101567
