Model,1st Layer,2nd Layer,3rd Layer,4th Layer,Accuracy,Loss
model_155,c_9,c_6,c_5,m_3,0.7145,0.821300889492035
model_156,c_12,c_3,c_7,c_8,0.7455,0.7763146790504456
model_157,c_8,m_1,s,-,0.7055,0.8629354924201965
model_158,c_5,m_2,c_3,c_9,0.7582,0.7517212296009064
model_159,c_6,c_9,c_4,m_2,0.7077,0.8494519868850708
model_160,c_9,c_1,s,-,0.7004,0.8804449134826661
model_161,c_7,c_1,c_8,c_12,0.7318,0.7925765055656433
model_162,c_4,m_1,m_1,c_3,0.7041,0.840885682296753
model_163,c_9,m_1,c_5,m_1,0.7254,0.8282388572692871
model_164,c_9,c_4,c_10,c_5,0.7348,0.8262996691703797
model_165,c_4,m_3,c_7,c_10,0.7196,0.8012406295776368
model_166,c_2,c_6,c_5,c_3,0.7089,0.8734121777534485
model_167,c_7,s,-,-,0.6715,0.9897862665176391
model_168,c_1,c_10,c_7,-,0.7222,0.8247413548469543
model_169,c_8,c_7,c_9,c_1,0.7346,0.7709338329315185
model_170,m_2,c_4,c_2,c_8,0.6949,1.0345639351844789
model_171,c_9,m_3,c_5,c_2,0.764,0.7067803077697754
model_172,c_6,c_7,c_2,c_5,0.7235,0.8489206846237183
model_173,c_12,c_7,c_5,m_2,0.73,0.8104104213714599
model_174,c_6,c_9,c_6,-,0.731,0.8075001251220704
model_175,c_7,m_3,c_7,c_5,0.7141,0.8361605176925659
model_176,c_4,c_6,m_1,c_3,0.7346,0.7783937956809998
model_177,c_2,c_11,c_3,c_4,0.7101,0.8256482285499572
model_178,c_6,c_4,c_9,c_12,0.7036,0.9035053472518921
model_179,c_8,c_6,m_3,c_4,0.722,0.7940262822151184
model_180,m_3,c_11,c_5,c_5,0.7039,0.8954358819961548
model_181,c_1,m_1,c_4,c_4,0.7195,0.8503589423179626
model_182,c_2,c_11,s,-,0.7027,0.8776281723976135
model_183,c_3,c_11,c_3,c_5,0.7242,0.8350795701026916
model_184,c_3,c_10,c_8,c_1,0.7233,0.835932310962677
model_185,c_10,m_2,m_3,m_3,0.6254,1.1108768762588501
model_186,c_6,c_3,c_11,m_2,0.7235,0.8183247951507568
model_187,c_8,c_4,c_5,m_1,0.7001,0.8675888700485229
model_188,c_11,c_10,c_7,-,0.6887,0.9549544148445129
model_189,c_10,m_1,c_7,m_2,0.717,0.8430352835655213
model_190,c_1,c_6,c_11,c_9,0.7541,0.7401165671348572
model_191,c_5,c_10,c_9,c_12,0.7601,0.7183190886497498
model_192,c_6,c_6,m_1,m_1,0.7072,0.856996446609497
model_193,c_10,m_1,c_1,c_12,0.7252,0.8375806171417236
model_194,c_3,c_8,c_7,c_8,0.7292,0.7988058240890503
model_195,c_8,c_11,c_7,m_3,0.7413,0.7577078819274903
model_196,c_11,m_1,m_1,s,0.7236,0.8043487915039063
model_197,m_1,c_10,c_9,c_3,0.7168,0.9168897089958191
model_198,c_10,c_5,m_2,s,0.7171,0.8623568888664246
model_199,c_9,m_1,m_3,m_3,0.6379,1.074724905204773
model_200,c_10,c_9,c_12,m_1,0.7552,0.7580002848148346
model_201,c_12,c_12,c_6,-,0.7243,0.8543385255813598
model_202,c_6,c_2,c_6,c_5,0.7394,0.7826366807937623
model_203,c_8,c_2,c_9,c_5,0.7587,0.7580874926567077
model_204,c_5,c_1,c_9,c_10,0.7165,0.8692951122283935
model_205,c_11,c_7,s,-,0.7045,0.8934149969100952
model_206,c_12,c_3,c_5,c_8,0.7476,0.7550336497306823
model_207,c_1,m_3,m_2,c_5,0.6873,0.9039675798416138
model_208,c_3,c_6,c_6,c_11,0.732,0.8096229100227356
model_209,m_3,c_10,c_5,-,0.6758,0.9614537454605102
model_210,c_6,c_4,c_7,m_2,0.7264,0.8024836095809936
model_211,c_10,c_9,c_10,c_6,0.7192,0.8234606778144836
model_212,c_4,c_5,c_9,c_9,0.7249,0.8115889086723328
model_213,c_9,c_7,c_10,c_5,0.7101,0.8781219826698303
model_214,c_2,m_3,c_7,c_8,0.7466,0.7530973219871521
model_215,c_4,c_5,c_2,c_11,0.7032,0.8820885272979736
model_216,c_3,c_8,c_6,c_10,0.7323,0.8009937072753907
model_217,c_9,c_2,s,-,0.7139,0.8687310363769531
model_218,c_5,c_10,c_1,c_10,0.6763,1.0623603739738465
model_219,c_7,c_4,c_9,c_6,0.7156,0.8484943774223328
model_220,c_1,c_9,c_4,c_11,0.7199,0.8349597564697265
model_221,c_5,c_12,c_5,c_1,0.7376,0.768825031375885
model_222,c_1,m_3,c_2,m_3,0.6492,1.0115236469268798
model_223,c_11,c_7,m_2,c_10,0.7316,0.8826755759239197
model_224,c_11,c_1,s,-,0.6648,0.9658538895606995
model_225,c_4,c_2,c_5,c_10,0.7116,0.8328255833625794
model_226,c_12,c_9,c_7,c_8,0.7426,0.779157898235321
model_227,c_11,c_1,c_4,c_1,0.6785,0.944596099281311
model_228,c_5,m_2,c_5,m_3,0.7327,0.7943757247924804
model_229,c_3,c_8,c_6,c_6,0.7162,0.8280959481239318
model_230,c_12,m_2,c_10,s,0.7389,0.7876333079338074
model_231,c_3,m_1,c_5,c_6,0.7314,0.782923583316803
model_232,c_2,c_1,c_12,c_6,0.7171,0.8635175240516663
model_233,c_9,m_1,c_6,c_11,0.7624,0.7092132521629333
model_234,c_11,c_5,c_9,c_12,0.7484,0.7796970806121826
model_235,c_7,c_8,c_9,c_11,0.7315,0.822968791294098
